,asin,helpful,rating,reviewText,reviewTime,reviewerID,reviewerName,unixReviewTime
6338,B003PDN7EK,"[0, 0]",1,Not the type of Christmas story that I enjoy reading. Prefer more current day type of stories with women that have more charge of their lives.,"01 22, 2014",A2BX79H27KONN8,Kindle Customer,1390348800
7272,B004JN0GAI,"[42, 47]",1,"I purchased this story because of the setting.  I usually love Scottish romances and am a fan of Diana Gabaldon's Outlander series.  I figured this would be a short, enjoyable story...and in all truth, it should have been.  It has the makings of a wonderful story, but it seems as if the author got greedy and decided to publish a skeletal outline for a quick sale.  There are too many holes, and it's simply too short to be worth paying for.  For instance, once he realizes ""Reva"" is a girl, he decides to hold her hostage instead of having her executed.  He tells her she has earned her next meal and better lodging, and then in the next sentence, suddenly it's 2 months later and they can't stop thinking of each other.  What?!  She's coming to breakfast, he's staring at her, and they've both fallen in love with each other during those 2 months, even though from what I can tell, they never actually talk to each other?  He still doesn't know who she is, and all she knows of him comes from people who live under his protection.  This is a huge fault, Jackie Barbosa.  You cannot expect the reader to believe they are in love simply because you say they are.  We need to see some sort of progression.  And then to believe that she, a strong woman who would rather face execution and surrender her family name, would blurt out that she's fallen in love with him when  he's her familial enemy?  Ridiculous!  I'm insulted as a reader that I'm expected to just go along with this absurd plot with no attempt to show me how it happened.  With more length and attention to the missing pieces, this could have been a good story.  What a waste!","09 10, 2011",A3NCV7XVGNHRT6,"teacher mom ""teacher mom""",1315612800
4897,B004GUS8BI,"[0, 0]",1,this was about the dumbest thing i have ever tried to read. was not even put together well for an understandable story.. just real dumb,"12 10, 2013",A1NTUHB72MS4WS,"DODY ""dody benfer""",1386633600
5170,B003JH86TI,"[1, 3]",1,"A little too cutesy and not really a very good read. It was more like a series of one liners strung together by a bad stand up comedienne. OK, maybe I did giggle a little. Maybe, if I were 12 I would find this hilarious. My advice - unless you ARE actually traveling with a vampire, just give this one a miss.","03 26, 2012",AT6B6Y8L9Z3AP,"Domino ""mydomino""",1332720000
2530,B0044DEM58,"[0, 0]",1,"I wanted to say something nice - the cover is pretty. Otherwise, not worth the time it took to download.","12 27, 2013",AA0POWAMJ8O9E,"Book Maven ""Karen""",1388102400
5970,B00413PU5M,"[5, 6]",1,"There is a marked difference between being submissive because it's a choice or natural inclination and simply having no will of one's own.Jasmine's character poses as a ""strong, opinionated, proud"" woman but in truth, she comes across as weak and a hypocrite, refusing to truly stand up for what she's supposed to believe in.  Wiley, the supportig character, is no better...lacking the fortitude to even insist on being called by her chosen name.I've never before felt that reading anything was a waste of time, but this book did it.  I'm angry that I not only took the time to download it but that I made it through a bit more than half of the book, thnking that it had to get better.Even free, this book is a waste of money and hazardous for any young woman to use as an example of true femininity.  The author must be male to spout such drivel.","05 25, 2011",A1MO2BZTA4FAEP,Amazon Customer,1306281600
9214,B002YX0NX0,"[2, 8]",1,"I read about 25% now, and there's still no hint of any romantic interest from any main character. Other than that major disappointment, it's too mundane and slow most of the time, with too much redundancies and things that go without saying, as if written for slow-wits.","11 14, 2011",A3LPD4YNYWAQ51,Bill Noon,1321228800
123,B0030H269S,"[33, 35]",1,"What a bore, but I will not bore you with the lack of a plot, full of sex talk that was not even erotic.  There was no connection to anything in the story, but some divorced woman whose husband fooled around on her and she finds some hot looking horny man and, you get the rest.  And I, for one, have no idea where one reviewer got the idea of a woman named Esmeralda trying to save her sister and giving Orin anything he wanted when, in fact, there is no Orin or Esmeralda in the story.  I like hot steamy sex, but this is ooohhh sooo stupid.  Keep your Freebies.","02 11, 2011",AFXT1MCW4AS8Q,"Jane Austen queen ""Book lover""",1297382400
3044,B004FPYZNY,"[1, 2]",1,"Samples masquerading as full books do not endear me to the series, author or publishing house.This was so short, confusing, and utterly pointless that I thought it was a complete waste! I've seen more writing in a free sample of books than in this.The whole thing can be summed up like this: First person fictional essay on a confused teenager jogging with two people she is friends with that hate each other. A large thing chases them. We don't get a description of this ""large"" creature. Girls run to parking lot and get in car with boyfriend of Friend A. Fin.","01 3, 2011",A189SV37L5Q7G6,Spiral Dancer,1294012800
91,B0035N1UOY,"[0, 0]",1,"I think I stumbled into this genre of erotica without knowing its specifics. For that reason, even though the level of violence was much too much for me, someone else who was looking for this type of story may like it. I had to give only one star because of my tastes. If you aren't specifically looking for strong levels of violence and humiliation, then I suggest you not purchase this book. I'm sorry I even read as far as I did.","07 11, 2013",A3F7QPTOA3JTKD,RW mod,1373500800
10142,B003M5IP2A,"[1, 1]",1,"First of all, I have no problem with menage relationships because one of my all time favorite books is ""Their One and Only"" by Trista Ann Michaels which I loved. Surprisingly, my problem with this book was not the length. However, one of my problems was that I thought that four men having one woman was just overkill. Problem number two being that two of the guys swing both ways but they called themselves family. That was just disgusting!I have no problem with gays, but the fact that one man is being done up his rear by the other while she's performing oral sex on him was just too much for me. That whole visual killed it for me. These are also the same men she heard getting busy up the hall after the first night they all ""shared"" her, so there was no guessing where his junk had been the night before, but she still eagerly put her mouth on him as if it was no big deal...I GOT A PROBLEM WITH THAT!If that was not enough, as I previously mentioned, I think four men was way too many for this book. Four people just made the sex scenes more chaotic and scattered to me. It was hard for me to keep up with who was doing what to who, and who was enjoying who, because there was so much going on. Another disappointment, or should I say inconsistency in the story, for me anyway, was after Rayna finally has sex with Jaime for they first time. The two lovebirds actually make a pact that from that point forward he is the only one that will ""get her mouth"" but I guess that only included kissing which I thought was absolutely ludicrous seeing as how later that same day after he has ""claimed her mouth"" the first thing she does is give David, the guy being done by his boyfriend, oral sex. Correct me if I am wrong, but I thought that claiming her mouth would include that as well. So, it was perfectly okay to suck them off, just not kiss them, that makes a lot of sense. THINK ABOUT IT AND GET BACK TO ME...You add all that up, and the fact that the whole insta-romance between Jaime and Rayna was just not believable in any way to me just made me not like this book at all, and I really wanted to. I could have cared less about Jaime being scarred and maimed. I just didn't believe there was a real connection happening while she was being banged by three other men. There was literally no time for a real relationship to blossom between those two.I guess I'll just have to count on Ms. Michaels to come save the day again because it seems like she's the only author that gets these menage relationships right on paper.","06 19, 2014",A1CDZNPO7U4E6N,LadyLestat,1403136000
4905,B003MQMZ2K,"[0, 0]",1,This is not a full book but a short story written as a prequel to another bookIt made me feel that its purpose was advertisingWhat a letdown,"01 7, 2013",A23IKBWSIS1HN6,denny,1357516800
4073,B004BA5GRM,"[5, 13]",1,"While I managed to finish this book, I found that the more I read it the more I disliked it.  The hero is a rapist, and the heroine a weak-willed, simpering idiot.  Ugh!  No thanks.","05 31, 2011",A1S4D3PPB2U9UK,DvusLeoGirl,1306800000
10544,B004DL0N9U,"[0, 0]",1,Story was too convoluted and made absolutely no sense. Couldn't finish it and banished it to the unread &#34;Hades&#34; part of my Kindle since it was a free read. Not interested to read any sequels from this author's series.,"07 15, 2014",A3LMQFDRF72E1U,,1405382400
297,B0032C993W,"[2, 3]",1,"I didn't finish this book, and that is incredibly rare for me. Like, I can't remember the last time I didn't finish a book.Firstly, as a native Irish speaker, it kind of annoyed me to see Irish words thrown into this book. It just suggested a laziness to me. Using Irish words is fine if there's a reason for it, if your book features Irish legends, or characters, but this book has no ties to Ireland at all, so it was just a convenient way for the author to avoid having to create a language.Anyway, the reasons I didn't finish this;It's incredibly confusing. Most of the time I had no idea what was happening, but that was OK, because very little happened. I gave up a little over a quarter into the book, and the main character had been assigned to work as the doctor on a pleasure ship, had a few run-ins with the staff, and that's it.The main character has no redeeming features at all. She comes across as arrogant, holier-than-thou and self-important. She didn't entice me to keep reading at all.The main male character similarly, is flat and uninteresting. He used to be one of the most elite fighters in the universe, now he serves as the captain of a 'floating brothel' because his mother, the queen, is punishing him for refusing to marry. He is arrogant, rude, and while I'm sure he's stunningly attractive, there is no physical description of him, the ship, the universe. There is no world-building.This book is meant to be erotica, and to be fair, I gave up before there was a real sex scene, but I wasn't holding out much hope that they would be hot, given that two references to a man's penis were made, using the word 'dangly'. We're all grown-ups here, surely. It's a penis","05 9, 2012",A1OK2B6G8FNYFM,CharlotteSimmons,1336521600
6327,B00381B3ZY,"[0, 0]",1,"Boring. I fell asleep while reading this multiple times, and I ALWAYS finish books, even bad ones, but this one I just couldn't bring myself to finish.","10 7, 2013",AI362E9DEJFFM,Amazon Customer,1381104000
5813,B004M5HHIM,"[4, 6]",1,"Well, I really don't know where to begin. I have to honestly say this has to be one of the worst books I have ever read as far as spelling, grammar and continuity error's are concerned. There were so many error's on each and every page that the story got lost in the errors. The thing that is so unfortunate about this is that the story had so much potential, but I honestly think the author should be ashamed to charge people for this book in it's current format.  With all these error's even .99 cents is too much to pay for it.BTW.....It's a manila envelope not a vanilla envelope.","05 30, 2012",A26E7TINA0EZ4Y,E. Bartholomew,1338336000
